"","osculum_ID","tracking_num","t","x","y","r","v"
"1","AB_S23_O1",1,0.4004,-0.46301,0.16215,0.49058,NA
"2","AB_S23_O1",1,0.40874,-0.41612,0.22076,0.47105,8.54912
"3","AB_S23_O1",1,0.41708,-0.40635,0.29304,0.501,11.8555
"4","AB_S23_O1",1,0.42543,-0.34774,0.40635,0.53484,14.73138
"5","AB_S23_O1",1,0.43377,-0.30672,0.51771,0.60175,14.2266
"6","AB_S23_O1",1,0.44211,-0.26569,0.62907,0.68287,11.07077
"7","AB_S23_O1",1,0.45045,-0.27351,0.6994,0.75097,14.76949
"8","AB_S23_O1",1,0.45879,-0.20318,0.86741,0.89089,17.55254
"9","AB_S23_O1",1,0.46713,-0.17973,0.97681,0.99321,12.90018
"10","AB_S23_O1",1,0.47548,-0.19146,1.08231,1.09911,11.66427
"11","AB_S23_O1",1,0.48382,-0.20122,1.17022,1.18739,11.42073
"12","AB_S23_O1",1,0.49216,-0.14066,1.26595,1.27374,11.46985
"13","AB_S23_O1",1,0.5005,-0.11331,1.34019,1.34497,10.05972
"14","AB_S23_O1",1,0.50884,-0.1055,1.43005,1.43394,12.90018
"15","AB_S23_O1",1,0.51718,-0.10159,1.55508,1.5584,13.94722
"16","AB_S23_O1",1,0.52553,-0.09573,1.66253,1.66529,12.90018
"17","AB_S23_O1",1,0.53387,-0.08987,1.76998,1.77226,11.71237
"18","AB_S23_O1",1,0.54221,-0.1348,1.85399,1.85888,12.72465
"19","AB_S23_O1",1,0.55055,-0.11331,1.98097,1.98421,13.78504
"20","AB_S23_O1",1,0.55889,-0.07033,2.07475,2.07594,13.11627
"21","AB_S23_O1",1,0.56723,-0.08401,2.19783,2.19943,12.76876
"22","AB_S23_O1",1,0.57558,-0.07619,2.28769,2.28896,12.90018
"23","AB_S23_O1",1,0.58392,-0.07228,2.41272,2.41381,13.82577
"24","AB_S23_O1",1,0.59226,-0.08401,2.51822,2.51962,13.11627
"25","AB_S23_O1",1,0.6006,-0.04298,2.62958,2.62993,14.14734
"26","AB_S23_O1",1,0.60894,-0.05666,2.75265,2.75324,14.84543
"27","AB_S23_O1",1,0.61728,-0.07033,2.87573,2.87659,13.78504
