id,species,oscula,osc_length_cm,osc_depth_cm,osc_diam1_cm,osc_diam2_cm,max_height_cm,depth_m,pump_vid,fish_vid,folder_name,field_notes,,
AB_S28_O1,Archeri,1,29,.,1.7,.,29,5.5,ok,ok,AB_SwimPump_Sponge28_Osc1,,,
AB_S53_O1,Archeri,1,45,.,3.4,.,45,5.7,good,good,AB_SwimPump_Sponge53_Osc1,,,
KO_S11_O1,Archeri,1,53,.,2.4,.,133,6.8,good,good,KO_SwimPump_Sponge11_Osc1,,,
KO_S18_O1,Lacunosa,1,21,.,2.1,.,34,7.3,good,good,KO_SwimPump_Sponge18_Osc1,,,
KO_S18_O2,Lacunosa,2,21,.,2.4,.,34,7.3,good,good,KO_SwimPump_Sponge18_Osc2,,,
AB_S27_O1,Lacunosa,1,51,.,3.2,.,69,7.5,good,good,AB_SwimPump_Sponge27_Osc1,,,
AB_S27_O2,Lacunosa,2,48,.,3.7,.,69,7.5,good,good,AB_SwimPump_Sponge27_Osc2,,,
KO_S20_O1,Lacunosa,1,41,.,2.7,.,56,7.6,good,good,KO_SwimPump_Sponge20_Osc1,,,
AB_S52_O1,Archeri,1,29,.,2,.,45,8.5,good,good,AB_SwimPump_Sponge52_Osc1,,,
DA_S42_O1,Archeri,1,51,.,2.5,.,51,8.8,good,good,DA_SwimpPump_Sponge42_Osc1,,,
DA_S41_O1,Lacunosa,1,25,.,2.9,.,43,9.1,good,good,DA_SwimpPump_Sponge41_Osc1,,,
DA_S41_O2,Lacunosa,2,43,.,3.4,.,43,9.1,good,good,DA_SwimpPump_Sponge41_Osc2,,,
KO_S7_O1,Lacunosa,1,36,.,2.8,.,.,9.1,ok,bad,KO_SwimPump_Sponge7_Osc1,Ruler angle a bit off and far away. Backgorund hard to see,,
DA_S43_O1,Lacunosa,1,31,.,2.6,.,42,9.4,ok,good,DA_SwimpPump_Sponge43_Osc1,Dye blends into ruler a lot,,
KO_S15_O1,Lacunosa,1,51,.,3.9,.,63,9.6,ok,bad,KO_SwimPump_Sponge15_Osc1,,,
AB_S51_O1,Archeri,1,26,.,1.9,.,26,9.8,good,good,AB_SwimPump_Sponge51_Osc1,,,
DA_S40_O1,Lacunosa,1,69,.,4,.,84,9.9,good,good,DA_SwimpPump_Sponge40_Osc1,Fish is a bit far down but you can tell that tail is not moving,,
DA_S40_O2,Lacunosa,2,62,.,4.6,.,84,9.9,good,ok,DA_SwimpPump_Sponge40_Osc2,Fish a bit far down and dark but can tell not moving. It also comes to chek out the light and turns away from light,,
AB_S46_O1,Archeri,1,69,.,3.8,.,69,10,good,ok,AB_SwimPump_Sponge46_Osc1,sponge swaying a lot and only a few frames where can clearly see fish. Can tell it's not moving though,,
DA_S44_O1,Lacunosa,1,60,.,3.9,.,70,10,good,good,DA_SwimpPump_Sponge44_Osc1,,,
DA_S44_O2,Lacunosa,2,70,.,3.6,.,70,10,good,ok,DA_SwimpPump_Sponge44_Osc2,"Can't see tail really well, fish far down tube. Stares at camera for a long time",,
KO_S9_O2,Archeri,2,36,.,2.6,.,.,10,good,good,KO_SwimPump_Sponge9_Osc2,,,
AB_S26_O1,Lacunosa,1,23,.,2,.,57,10.3,good,good,AB_SwimPump_Sponge26_Osc1,,,
AB_S26_O2,Lacunosa,2,38,.,3,.,57,10.3,good,good,AB_SwimPump_Sponge26_Osc2,,,
AB_S26_O3,Lacunosa,3,28,.,2.2,.,57,10.3,good,good,AB_SwimPump_Sponge26_Osc3,,,
DA_S38_O1,Lacunosa,1,24,.,2.2,.,50,10.4,good,good,DA_SwimpPump_Sponge38_Osc1,Fish vid is best near end of 2nd video,,
AB_S47_O1,Archeri,1,77,.,4,.,77,10.5,good,good,AB_SwimPump_Sponge47_Osc1,,,
CA_S60_O1,Lacunosa,1,33,.,1.8,.,33,10.5,good,good,CA_SwimPump_Sponge60_Osc1,Monitored sponge #7,,
DA_S45_O1,Archeri,1,78,.,5.6,.,78,10.5,bad,ok,DA_SwimpPump_Sponge45_Osc1,"Goby far down, can see not moving though. Current took dye plumes so not clear puffs. Also dye was shooting out of the syringe quickly. ",,
AB_S24_O1,Lacunosa,1,36,.,3,.,59,10.7,good,bad,AB_SwimPump_Sponge24_Osc1,,,
DA_S32_O1,Lacunosa,1,26,.,3,.,26,10.8,good,good,DA_SwimpPump_Sponge32_Osc1,Fish flicking tail. Might be mad. ,,
CA_S54_O1,Lacunosa,1,50,.,4.8,.,50,11.2,ok,good,CA_SwimPump_Sponge54_Osc1,This is monitored sponge #1. Not pumping strongly. Dive was low visibility.  Hard to tell if dye movement is from ejection or any current because pump is so weak.,,
CA_S59_O1,Lacunosa,1,34,.,3.4,.,34,11.4,good,ok,CA_SwimPump_Sponge59_Osc1,Monitored sponge #12 Goby a bit far down but can see tail not moving,,
DA_S37_O1,Archeri,1,51,.,3.4,.,125,11.4,good,good,DA_SwimpPump_Sponge37_Osc1,,,
DA_S37_O2,Archeri,2,20,.,2.3,.,125,11.4,ok,ok,DA_SwimpPump_Sponge37_Osc2,Fish a bit far from camera but can tell its not moving. Dye puffs run together a lot,,
DA_S37_O3,Archeri,3,53,.,3.3,.,125,11.4,good,good,DA_SwimpPump_Sponge37_Osc3,Fish starts to swim away part way through but still clear,,
DA_S39_O1,Archeri,1,57,.,3.8,.,77,11.4,good,good,DA_SwimpPump_Sponge39_Osc1,"Third fish vid is best, the first two it swims away from camera",,
DA_S39_O2,Archeri,2,47,.,3.6,.,77,11.4,good,good,DA_SwimpPump_Sponge39_Osc2,"Third fiss vid is best, in the first two, its a bit far down the tube so less clear",,
AB_S25_O1,Archeri,1,51,.,3,.,84,11.6,good,good,AB_SwimPump_Sponge25_Osc1,,,
AB_S50_O1,Archeri,1,77,.,4.2,.,77,11.8,good,good,AB_SwimPump_Sponge50_Osc1,,,
AB_S50_O2,Archeri,2,39,.,2.5,.,77,11.8,good,good,AB_SwimPump_Sponge50_Osc2,,,
AB_S23_O1,Archeri,1,62,.,4,.,64,12.5,good,good,AB_SwimPump_Sponge23_Osc1,,,
AB_S48_O1,Archeri,1,81,.,4.2,.,81,12.7,good,good,AB_SwimPump_Sponge48_Osc1,,,
CA_S55_O1,Lacunosa,1,29,.,3.6,.,49,12.8,ok,good,CA_SwimPump_Sponge55_Osc1,"This is monitored sponge #2. Not pumping strongly.  Since sponge not pumping, not real sponge rate to be seen. Video demonstrates lack of pumping though.",,
CA_S56_O1,Lacunosa,1,21,.,2.2,.,55,12.9,ok,ok,CA_SwimPump_Sponge56_Osc1,"This is monitored sponge #4 but in a different osculum than for SwimPump sponge 5. Video is of mated pair . Sponge not pumping strongly.  Since sponge not pumping, not real sponge rate to be seen. Video demonstrates lack of pumping though.",,
AB_S49_O1,Archeri,1,39,.,2.6,.,43,13.4,good,good,AB_SwimPump_Sponge49_Osc1,,,
CA_S57_O1,Lacunosa,1,30,.,3,.,30,13.4,good,good,CA_SwimPump_Sponge57_Osc1,This is monitored sponge #47. Male with lots of eggs in tube. ,,
KO_S8_O1,Archeri,1,32,.,4.5,.,65,15,bad,good,KO_SwimPump_Sponge8_Osc1,Spogne not pumping,,
CA_S58_O1,Lacunosa,1,38,.,5.5,.,38,15.2,good,good,CA_SwimPump_Sponge58_Osc1,This is the sponge with our orange tagged goby. ,,
CA_S13_O1,Archeri,1,82,.,5.2,.,82,.,bad,good,CA_SwimPump_Sponge13_Osc1,"Camera moving for puffs, and ruler not steady",,
CA_S13_O2,Archeri,2,50,.,2.1,.,82,.,bad,good,CA_SwimPump_Sponge13_Osc2,everything moving in dye video and color gets lost on background and glove. ,,
CA_S4_O1,Lacunosa,1,.,.,4.5,.,48,.,ok,no,CA_SwimPump_Sponge4_Osc1,angle not great for ruler but still close. Dye gcoming out quickly,,
CA_S5_O1,Lacunosa,1,.,.,3.7,.,54,.,ok,good,CA_SwimPump_Sponge5_Osc1,This is our sponge 4. Maybe try the pump vids again. Ruler angle bad and puffs not great,,
KO_S9_O1,Archeri,1,.,.,.,.,.,.,no,good,KO_SwimPump_Sponge9_Osc1,,,
KO_S10_O1,Archeri,1,43,.,2.4,.,.,.,ok,good,KO_SwimPump_Sponge10_Osc1,Ruler angle a bit off,,
BS_S1_O1,Touchmenot,1,.,7.5,6,4,12,.,ok,good,BS_SwimPump_Sponge1_Osc1,Ruler in pump video displaced far back,,
BS_S2_O1,Touchmenot,1,.,5,6,6,35,.,ok,bad,BS_SwimPump_Sponge2_Osc1,Fish vid fuzzy. Dye vid ruler is in good spot but moving slightly,,
BS_S2_O2,Touchmenot,2,.,12,8,5,35,.,ok,good,BS_SwimPump_Sponge2_Osc2,Ruler moving,,
BS_S3_O1,Touchmenot,1,.,12,7,9,24,.,bad,good,BS_SwimPump_Sponge3_Osc1,"Rule at bad angle, background hard to see dye, ruler displaced too far back",,
CA_S12_O1,Touchmenot,1,.,18,10,6,37,.,ok,good,CA_SwimPump_Sponge12_Osc1,"Camera far back, ruler moving, angle ok",,
CA_S12_O2,Touchmenot,2,.,23,9,8.5,37,.,ok,ok,CA_SwimPump_Sponge12_Osc2,Fish not swimming much. Angle not great for vid and current taking puffs away,,
CA_S14_O1,Touchmenot,1,.,16,10,6,46,.,bad,good,CA_SwimPump_Sponge14_Osc1,"Ruler placed very far back, background hard to see",,
CA_S14_O2,Touchmenot,2,.,14,6,4.5,46,.,good,bad,CA_SwimPump_Sponge14_Osc2,Ruler in sponge. Camera moving a lot in swim vid,,
CA_S21_O1,Touchmenot,1,.,9,3.5,4,16,8.5,ok,ok,CA_SwimPump_Sponge21_Osc1,Fuzzy and camera knocked a bit. Ruler placed a bit too far back,,
CA_S22_O1,Touchmenot,1,.,6,6,5,27,5,good,good,CA_SwimPump_Sponge22_Osc1,Ruler placed right next to osculum,,
CA_S6_O1,Touchmenot,1,.,7.5,2.2,3.9,12,.,ok,good,CA_SwimPump_Sponge6_Osc1,"Ruler position ok, but moving",,
CA_S61_O1,Touchmenot,1,.,16,5,5.2,23,6.4,good,good,CA_SwimPump_Sponge61_Osc1,,,
CA_S62_O1,Touchmenot,1,.,13.3,3.9,3.2,19,7.7,good,good,CA_SwimPump_Sponge62_Osc1,,,
CA_S63_O1,Touchmenot,1,.,23.5,6.9,6.1,37,9.3,good,good,CA_SwimPump_Sponge63_Osc1,This is monitored sponge #19,,
CA_S64_O1,Touchmenot,1,.,11.1,3.2,4.7,20,9.4,good,good,CA_SwimPump_Sponge64_Osc1,Twitchy swimmer,,
CA_S65_O1,Touchmenot,1,.,11.5,5.9,7.4,17,6,good,good,CA_SwimPump_Sponge65_Osc1,This is monitored sponge #28,,
CA_S66_O1,Touchmenot,1,.,21.6,11.5,2.8,43,7.8,good,good,CA_SwimPump_Sponge66_Osc1,Larval trap sponge. Many fish but focused on the big guy in the middle,,
CA_S66_O2,Touchmenot,2,.,9.7,4.5,3.8,43,7.8,good,ok,CA_SwimPump_Sponge66_Osc2,Clear video and full body of fish but he is not swimming very much. ,,
DA_S31_O1,Touchmenot,1,.,5.3,2.5,2.8,32,9.4,good,ok,DA_SwimPump_Sponge31_Osc1,"Fish small and fuzzy. For sponge pumps, we are focusing on the puffs on the left side becuse the osculum was spit in the middle, with the fish on the left side, can see it frim the fish vids but not clear in pump vids.",,
DA_S33_O1,Touchmenot,1,.,12.5,9.8,4.7,23,11.1,good,ok,DA_SwimPump_Sponge33_Osc1,"In first swim video, can see eggs when she turns around. First part of vid 1 will work best. ",,
DA_S34_O1,Touchmenot,1,.,6,2.4,4,13,10.2,good,ok,DA_SwimPump_Sponge34_Osc1,"First swim vid fuzzy and dark. Second vid more clear but tail is hard to see, will need to see if can zoom in. ",,
DA_S35_O1,Touchmenot,1,.,11.7,5.8,3.2,32,7.4,good,good,DA_SwimPump_Sponge35_Osc1,,,
DA_S35_O2,Touchmenot,2,.,10.6,5,3.7,32,7.4,good,good,DA_SwimPump_Sponge35_Osc2,,,
DA_S35_O3,Touchmenot,3,.,11,12.7,3.3,32,7.4,good,good,DA_SwimPump_Sponge35_Osc3,Potentially multiple fish. Focal fish swims intermitantly. Full body shot,,
DA_S35_O4,Touchmenot,4,.,14.5,7.1,5,32,7.4,good,ok,DA_SwimPump_Sponge35_Osc4,Top fish in focus is not actually focal. Thsi fish we filmed (focal) from Oscula 3 but he moved over. The focal fish here hides a lot and we don't have a full body shot of it. ,,
DA_S36_O1,Touchmenot,1,.,6.5,3.2,3.4,16,7.3,bad,good,DA_SwimPump_Sponge36_Osc1,One vid out of focus but first one is in focus,,
DA_S36_O2,Touchmenot,2,.,8.5,4,2.8,16,7.3,bad,good,DA_SwimPump_Sponge36_Osc2,This is monitored sponge #33,,
DA_S36_O3,Touchmenot,3,.,10.8,7,4,16,7.3,ok,ok,DA_SwimPump_Sponge36_Osc3,,,
KO_S16_O1,Touchmenot,1,.,9,4,3,15,7.2,good,good,KO_SwimPump_Sponge16_Osc1,,,
KO_S17_O1,Touchmenot,1,.,16,8.5,7.5,37,5.3,bad,good,KO_SwimPump_Sponge17_Osc1,Ruler way too far back,,
KO_S19_O1,Touchmenot,1,.,13,6.5,6.5,13,5.1,bad,good,KO_SwimPump_Sponge19_Osc1,Ruler way too far back,,
KO_S29_O1,Touchmenot,1,.,11,4.8,4,13,9.3,good,good,KO_SwimPump_Sponge29_Osc1,,,
