osculum_ID,tracking_num,t,x,y,r,v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_S23_O1,1,4.00E-01,-4.63E-01,1.62E-01,4.91E-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_S23_O1,1,4.09E-01,-4.16E-01,2.21E-01,4.71E-01,8.55E+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_S23_O1,1,4.17E-01,-4.06E-01,2.93E-01,5.01E-01,1.19E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_S23_O1,1,4.25E-01,-3.48E-01,4.06E-01,5.35E-01,1.47E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_S23_O1,1,4.34E-01,-3.07E-01,5.18E-01,6.02E-01,1.42E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_S23_O1,1,4.42E-01,-2.66E-01,6.29E-01,6.83E-01,1.11E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_S23_O1,1,4.50E-01,-2.74E-01,6.99E-01,7.51E-01,1.48E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_S23_O1,1,4.59E-01,-2.03E-01,8.67E-01,8.91E-01,1.76E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_S23_O1,1,4.67E-01,-1.80E-01,9.77E-01,9.93E-01,1.29E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_S23_O1,1,4.75E-01,-1.91E-01,1.08E+00,1.10E+00,1.17E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_S23_O1,1,4.84E-01,-2.01E-01,1.17E+00,1.19E+00,1.14E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_S23_O1,1,4.92E-01,-1.41E-01,1.27E+00,1.27E+00,1.15E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_S23_O1,1,5.01E-01,-1.13E-01,1.34E+00,1.34E+00,1.01E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
