Sponge,diam1,diam2,osc_depth,osculum_vol,max_height_cm,Fish Size,Site,tbf_first,tbf_mean,depth
BS_S1_O1,6,4,7.5,9.424777961,12,Large,BS,5.22,.,.
BS_S2_O2,8,5,12,15.70796327,35,Medium,BS,8,.,.
BS_S3_O1,7,9,12,24.74004215,24,Small,BS,7.5,7.08,.
CA_S12_O1,10,6,18,23.5619449,37,Large,CA,7.06,6.45,.
CA_S12_O2,9,8.5,23,30.04147975,37,Small,CA,6.32,6.49,.
CA_S14_O1,10,6,16,23.5619449,46,Small,CA,7.5,8.42,.
CA_S14_O2,6,4.5,14,10.60287521,46,Medium,CA,6,6.33,.
CA_S21_O1,3.5,4,9,5.497787144,16,Small,CA,10.9,10.6,8.5
CA_S22_O1,6,5,6,11.78097245,27,Large,CA,12,10.5,5
CA_S6_O1,2.2,3.9,7.5,3.369358121,12,Small,CA,12,10.1,.
CA_S61_O1,5,5.2,16,10.21017612,23,Medium,CA,6.67,6.26,6.4
CA_S62_O1,3.9,3.2,13.3,4.90088454,19,Large,CA,8.57,.,7.7
CA_S63_O1,6.9,6.1,23.5,16.52870435,37,Large,CA,5.22,4.76,9.3
CA_S64_O1,3.2,4.7,11.1,5.906194189,20,Large,CA,5,4.72,9.4
CA_S65_O1,5.9,7.4,11.5,17.14524191,17,Medium,CA,8.57,9.02,6
CA_S66_O1,11.5,2.8,21.6,8.136724973,43,Large,CA,3.24,2.88,7.8
DA_S34_O1,.,.,.,.,.,Medium,DA,10.9,9.62,10.2
DA_S33_O1,9.8,4.7,12.5,18.0877197,23,Large,DA,5.45,5.7,11.1
DA_S35_O1,5.8,3.2,11.7,7.288494956,32,Large,DA,4.8,4.82,7.4
DA_S35_O2,5,3.7,10.6,7.264933011,32,Large,DA,8.57,8.19,7.4
DA_S35_O3,12.7,3.3,11,16.45801851,32,Medium,DA,6,6.11,7.4
DA_S35_O4,7.1,5,14.5,13.9408174,32,Medium,DA,8.57,8.38,7.4
DA_S36_O1,3.2,3.4,6.5,4.272566009,16,Small,DA,12,13.2,7.3
DA_S36_O2,4,2.8,8.5,4.398229715,16,Small,DA,8,8.6,7.3
DA_S36_O3,7,4,10.8,10.99557429,16,Medium,DA,10,9.05,7.3
KO_S17_O1,8.5,7.5,16,25.03456646,37,Large,KO,7.5,7.67,5.3
KO_S19_O1,6.5,6.5,13,16.5915362,13,Medium,KO,7.06,6.96,5.1
KO_S29_O1,4.8,4,11,7.539822369,13,Small,KO,6,5.75,9.3
KO_S30_O1,8.2,4.4,17.7,14.16858287,45,Small,KO,10,9.74,8
KO_S30_O2,7.5,9,21,26.50718801,45,Medium,KO,4.62,.,8
